734270	30.69
734271	30.75
734272	30.17
734275	30.37
734276	30.57
734277	30.44
734278	29.38
734279	29.54
734282	29.13
734283	28.9
734284	29.07
734285	29.85
734286	29.81
734290	29.59
734291	30.2
734292	30.18
734293	29.39
734296	29.5
734297	30.05
734298	30.39
734299	30.73
734300	30.95
734303	30.74
734304	30.94
734305	30.99
734306	31.02
734307	31.11
734310	30.88
734311	30.67
734312	30.43
734313	29.93
734314	29.61
734317	29.94
734318	29.22
734319	28.57
734320	28.54
734321	28.27
734325	28.39
734326	29.12
734327	29.45
734328	29.62
734331	29.55
734333	29.97
734334	30.18
734335	29.87
734338	29.85
734339	30.37
734340	30.01
734341	30.58
734342	30.94
734345	31.15
734346	30.95
734347	30.85
734348	30.78
734349	30.97
734352	31.37
734353	31.44
734354	31.28
734355	30.88
734356	30.61
734359	31.05
734360	30.95
734361	30.18
734362	30.21
734363	29.98
734366	29.28
734367	29.2
734368	28.9
734369	28.3
734370	28.48
734373	28.63
734374	27.97
734375	28.23
734376	27.84
734377	28.05
734380	27.29
734381	27.49
734382	28.14
734383	28.44
734384	28.56
734388	28.33
734389	28.39
734390	28.49
734391	28.77
734394	28.96
734395	28.74
734396	29.01
734397	29.1
734398	29.17
734401	29.59
734402	29.72
734403	29.77
734404	29.54
734405	29.98
734408	29.55
734409	29.55
734410	28.98
734411	28.52
734412	28.58
734416	28.75
734417	28.52
734418	28.61
734419	28.53
734422	28.6
734423	28.58
734424	28.9
734425	29.09
734426	29.2
734429	29.2
734431	29.04
734432	29.35
734433	29.56
734436	29.55
734437	29.5
734438	29.41
734439	29.72
734443	29.59
734444	29.8
734445	29.91
734446	30.13
734447	30.03
734450	29.23
734451	28.79
734452	28.87
734453	28.62
734454	28.69
734457	28.92
734458	28.78
734459	28.67
734460	29
734461	28.84
734464	29.03
734465	29.06
734466	29.26
734468	28.96
734471	29.03
734472	29.02
734474	29.31
734475	29.3
734478	29.25
734479	29.17
734480	29.43
734481	29.34
734482	29.42
734485	29.42
734486	29.17
734487	29.19
734488	29.3
734489	29.3
734492	29.36
734493	29.33
734494	29.2
734495	29.05
734499	29.06
734500	29.06
734501	29.18
734506	29.21
734507	29.66
734508	29.67
734509	29.86
734510	30.36
734513	30.08
734514	30.11
734515	30.46
734516	30.5
734517	30.45
734522	29.96
734524	29.94
734528	29.66
734529	29.69
734530	29.79
734534	29.14
734535	29.18
734536	29.32
734537	29.7
734538	29.85
734541	28.01
734542	28.01
734543	28.05
734544	28.1
734545	28.24
734548	28.03
734549	28.25
734550	28.35
734551	28.39
734552	28.64
734556	28.27
734558	27.78
734559	27.91
734562	27.79
