734271	32.88
734272	32.3
734275	31.81
734276	31.98
734277	31.97
734278	30.96
734279	31.22
734282	31.15
734283	30.94
734284	30.74
734285	32
734286	31.94
734290	31.79
734291	32.24
734292	32.84
734293	31.57
734296	30.64
734297	30.9
734298	30.89
734299	32.47
734300	32.55
734303	32.98
734304	33.77
734305	33.62
734306	33.93
734307	33.98
734310	33.66
734311	33.43
734312	33.84
734313	33.04
734314	32.89
734317	32.72
734318	31.28
734319	30.48
734320	30.15
734321	29.85
734325	29.62
734326	30.72
734327	31.15
734328	31.15
734331	31
734333	31.94
734334	32.07
734335	31.36
734338	31.69
734339	32.08
734340	31.67
734341	32.26
734342	32.96
734345	33.58
734346	33.27
734347	32.55
734348	32.11
734349	31.8
734352	33.26
734353	33.43
734354	34.14
734355	32.68
734356	32.34
734359	31.62
734360	31.5
734361	30.47
734362	29.98
734363	29.8
734366	29.93
734367	30.37
734368	30.55
734369	30.43
734370	30.49
734373	30.26
734374	29.96
734375	29.67
734376	31.39
734377	32.46
734380	31.83
734381	32.74
734382	33.75
734383	34.15
734384	34.72
734388	33.09
734389	34.15
734390	34.54
734391	34.73
734394	35.12
734395	34.08
734396	34.51
734397	34.68
734398	34.47
734401	37.05
734402	37.39
734403	36.83
734404	36.96
734405	38.57
734408	37.85
734409	38.83
734410	38.96
734411	38.56
734412	39.08
734416	39.7
734417	37.44
734418	37.45
734419	38.09
734422	37.85
734423	37.99
734424	38.46
734425	38.33
734426	38.61
734429	38.25
734431	37.8
734432	38.47
734433	38.35
734436	38.66
734437	38.39
734438	39.09
734439	39.07
734443	40.15
734444	40.86
734445	40.23
734446	40.41
734447	41.03
734450	40.74
734451	40.76
734452	41.04
734453	41.06
734454	40.2
734457	40.08
734458	38.92
734459	38.86
734460	39.95
734461	40.1
734464	41.18
734465	40.49
734466	41.15
734468	41
734471	41.14
734472	41.09
734474	41.27
734475	41.55
734478	41.85
734479	41.76
734480	41.85
734481	41.98
734482	43.04
734485	43.04
734486	42.45
734487	42.82
734488	42.86
734489	43.5
734492	43.06
734493	43.06
734494	42.1
734495	41.89
734499	41.73
